epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,2.293958829243978,0.095,2.2822118602752686,0.1118,-0.016799999999999995
2,2.270620013554891,0.22433333333333333,2.2573116550445556,0.3049,-0.08056666666666668
3,2.241379992802938,0.39266666666666666,2.220963104248047,0.4629,-0.07023333333333331
4,2.1941686363220216,0.5306666666666666,2.1580226009368895,0.5668,-0.03613333333333335
5,2.1055500679016115,0.5966666666666667,2.0320417255401613,0.6505,-0.05383333333333329
6,1.9212762095133464,0.63,1.7611925230026244,0.6763,-0.04630000000000001
7,1.555008065223694,0.6843333333333333,1.316417583847046,0.6996,-0.01526666666666665
8,1.111737860361735,0.7406666666666667,0.9127693964958191,0.7836,-0.04293333333333327
9,0.8253748904863993,0.7803333333333333,0.7299253963470459,0.8067,-0.02636666666666665
10,0.6700108049710591,0.82,0.630022038269043,0.8116,0.008399999999999963
