epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,1.4085361156463623,0.5666333333333333,0.4258633786678314,0.8735,-0.30686666666666673
2,0.42190327935218813,0.8735833333333334,0.23256365375518798,0.9306,-0.057016666666666604
3,0.286941631869475,0.91465,0.16452450573444366,0.9528,-0.03815000000000002
4,0.22305696619749069,0.9339,0.12312404606491327,0.9627,-0.028800000000000048
5,0.18716963492631913,0.9443833333333334,0.09979488974362612,0.9704,-0.026016666666666688
6,0.16301072785059612,0.95215,0.09994564145207405,0.9684,-0.016249999999999987
7,0.1453173808634281,0.9570833333333333,0.08395011218972503,0.9741,-0.01701666666666668
8,0.13328280872205894,0.9607666666666667,0.07366068050861359,0.9776,-0.016833333333333367
9,0.12339223845998445,0.9633833333333334,0.07224459500089288,0.9773,-0.013916666666666577
10,0.11400137026111284,0.9662333333333334,0.06446160472873598,0.9786,-0.012366666666666637
11,0.10985157872935136,0.9677333333333333,0.06642905517220497,0.9776,-0.00986666666666669
12,0.10350795092682044,0.96935,0.06082287318278104,0.9813,-0.011949999999999905
13,0.09859824150105317,0.9707166666666667,0.054086449773795904,0.9822,-0.01148333333333329
14,0.09378742204606533,0.9720833333333333,0.0557715545787476,0.9822,-0.010116666666666663
15,0.09038415707896152,0.9732333333333333,0.05156043554525822,0.9819,-0.008666666666666711
16,0.08554504814545313,0.9749666666666666,0.047730645983386784,0.9843,-0.009333333333333305
17,0.08318013372172912,0.9753833333333334,0.04798133463044651,0.9843,-0.008916666666666573
18,0.07810050383508206,0.9768333333333333,0.047451261605788025,0.9849,-0.008066666666666666
19,0.07545355271399021,0.9770333333333333,0.04508765290048905,0.9854,-0.008366666666666744
20,0.07494838099901875,0.9776166666666667,0.042304668236570434,0.9856,-0.007983333333333342
