epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,1.3980194294293722,0.5758166666666666,0.4162453456878662,0.8804,-0.3045833333333333
2,0.43283107112248737,0.8681333333333333,0.23900439258813858,0.9263,-0.0581666666666667
3,0.2968063839594523,0.91145,0.19324328348040581,0.9378,-0.026349999999999985
4,0.23101303787231445,0.9316833333333333,0.13174946082532407,0.9587,-0.02701666666666669
5,0.19119878999392192,0.943,0.10597727875038981,0.968,-0.025000000000000022
6,0.16466594489018122,0.9507,0.09257882169112563,0.9709,-0.020199999999999996
7,0.14654558210472265,0.9567166666666667,0.08135241566225887,0.9761,-0.019383333333333308
8,0.13093596204121907,0.9609166666666666,0.07353689033463598,0.9778,-0.01688333333333336
9,0.12143319543202719,0.96395,0.06963153770342469,0.9788,-0.01485000000000003
10,0.1150535521864891,0.9659166666666666,0.060658477590978144,0.9799,-0.013983333333333348
11,0.10559487785200278,0.96835,0.06479463015682996,0.9799,-0.01154999999999995
12,0.10023826654454072,0.9699,0.05657601044848561,0.9818,-0.011900000000000022
13,0.09456126666963101,0.97125,0.052992517778510224,0.9822,-0.010950000000000015
14,0.09148566991289457,0.9722833333333334,0.054948242853954436,0.9826,-0.01031666666666664
15,0.08808397914568583,0.9737166666666667,0.04962964770225808,0.9834,-0.009683333333333377
