epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,1.3231045038223266,0.5903333333333334,0.4109080808162689,0.8881,-0.2977666666666666
2,0.4020589278539022,0.8770666666666667,0.2286317048430443,0.9314,-0.054333333333333345
3,0.2908300523519516,0.91335,0.1674750615954399,0.9478,-0.03444999999999998
4,0.2303699403166771,0.9308833333333333,0.12837560750991106,0.9608,-0.029916666666666702
5,0.19530152137676876,0.9421166666666667,0.10984326092153787,0.9658,-0.02368333333333328
6,0.16883313072919845,0.9500333333333333,0.09250768075175583,0.9712,-0.021166666666666667
7,0.15039431734482447,0.9547666666666667,0.08976137292608619,0.9703,-0.015533333333333399
8,0.13681535778443019,0.95985,0.07360689675472677,0.9771,-0.017249999999999988
9,0.12307274613777797,0.96275,0.06877730906009674,0.978,-0.015249999999999986
10,0.11615416913032532,0.9658666666666667,0.062073003136739135,0.9805,-0.014633333333333387
11,0.10830961557328701,0.9680166666666666,0.06220374582111835,0.9792,-0.011183333333333323
12,0.10374960650801658,0.9692166666666666,0.05764435063153505,0.981,-0.011783333333333368
13,0.09774190266430378,0.9712833333333334,0.05351747832158581,0.9831,-0.011816666666666586
14,0.09022806364049514,0.9724,0.052091747555416075,0.9831,-0.010699999999999932
15,0.08878256014784178,0.9740333333333333,0.05014026228003204,0.9832,-0.009166666666666656
16,0.0843795990139246,0.9747333333333333,0.048493766276119274,0.9839,-0.009166666666666656
17,0.07971936209350824,0.9763666666666667,0.04685555214390624,0.984,-0.00763333333333327
18,0.07844613122045994,0.9768666666666667,0.04544411380207166,0.9849,-0.008033333333333337
19,0.0746848261659344,0.9778,0.041246815041475926,0.9861,-0.008299999999999974
20,0.07256146333515644,0.9780166666666666,0.04064448092258535,0.9863,-0.00828333333333331
