epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,2.290119686762492,0.14833333333333334,2.275385692214966,0.2442,-0.09586666666666666
2,2.2604426256815593,0.31766666666666665,2.240725296020508,0.4165,-0.09883333333333333
3,2.2163175996144613,0.443,2.1801116931915283,0.4893,-0.04630000000000001
4,2.134552630742391,0.5066666666666667,2.0615313888549807,0.5477,-0.041033333333333255
5,1.965612159729004,0.546,1.8157733058929444,0.6074,-0.06140000000000001
6,1.6430356562932333,0.6326666666666667,1.3894167318344117,0.7189,-0.08623333333333327
7,1.2136787999471028,0.723,0.9744452571868897,0.7759,-0.05290000000000006
8,0.8940823594729106,0.7663333333333333,0.7639235774040222,0.7817,-0.01536666666666664
9,0.7127273373603821,0.7976666666666666,0.6156160465240479,0.8325,-0.03483333333333338
10,0.6135725526809692,0.8196666666666667,0.535416499710083,0.8494,-0.02973333333333339
11,0.5479956340789794,0.8376666666666667,0.5116616375923156,0.8542,-0.01653333333333329
12,0.5071784445444742,0.8486666666666667,0.5469705840110779,0.8203,0.02836666666666665
13,0.47300248821576435,0.8563333333333333,0.5337561276435852,0.8316,0.024733333333333274
14,0.4429162704149882,0.864,0.4538916537284851,0.8595,0.0044999999999999485
15,0.41128245457013446,0.8783333333333333,0.3899586564064026,0.8842,-0.005866666666666687
16,0.3981382339000702,0.8793333333333333,0.3719692806005478,0.8903,-0.01096666666666668
17,0.3816410241127014,0.8843333333333333,0.410674404668808,0.8692,0.015133333333333332
18,0.36672363710403444,0.884,0.3982193100690842,0.8757,0.008299999999999974
19,0.35841125933329265,0.889,0.369642475771904,0.8821,0.006900000000000017
20,0.34301694059371945,0.8906666666666667,0.36039370288848877,0.8923,-0.0016333333333332645
