epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,1.2159932044029236,0.62035,0.3957761344432831,0.8837,-0.2633500000000001
2,0.39273183558781943,0.88155,0.21799014080762863,0.934,-0.05245000000000011
3,0.27696918536424636,0.9170833333333334,0.14974135578870773,0.9546,-0.03751666666666664
4,0.21723065616289775,0.9367666666666666,0.12022919358611107,0.9619,-0.02513333333333334
5,0.17935724441409112,0.9472666666666667,0.1003954539552331,0.9714,-0.02413333333333334
6,0.1565946429649989,0.95315,0.08445761014074087,0.9735,-0.02034999999999998
7,0.14035807138284048,0.9586166666666667,0.07606534973680973,0.9759,-0.017283333333333317
8,0.13068850674629212,0.9610166666666666,0.0706187345020473,0.9777,-0.016683333333333383
9,0.11930718804796536,0.9651166666666666,0.06556945780292153,0.9792,-0.014083333333333337
10,0.11044577727119127,0.9676666666666667,0.06694481529071927,0.9792,-0.011533333333333284
